"DateTime","Series 1"
"2013-04-28 00:00:00",4.3
"2013-04-29 00:00:00",4.37
"2013-04-30 00:00:00",4.4
"2013-05-01 00:00:00",4.29
"2013-05-02 00:00:00",3.78
"2013-05-03 00:00:00",3.39
"2013-05-04 00:00:00",3.03
"2013-05-05 00:00:00",3.49
"2013-05-06 00:00:00",3.59
"2013-05-07 00:00:00",3.37
"2013-05-08 00:00:00",3.28
"2013-05-09 00:00:00",3.4
"2013-05-10 00:00:00",3.41
"2013-05-11 00:00:00",3.46
"2013-05-12 00:00:00",3.36
"2013-05-13 00:00:00",3.26
"2013-05-14 00:00:00",3.28
"2013-05-15 00:00:00",2.82
"2013-05-16 00:00:00",2.93
"2013-05-17 00:00:00",2.89
"2013-05-18 00:00:00",3.2
"2013-05-19 00:00:00",3.3
"2013-05-20 00:00:00",3.31
"2013-05-21 00:00:00",3.19
"2013-05-22 00:00:00",3.09
"2013-05-23 00:00:00",3.12
"2013-05-24 00:00:00",3.17
"2013-05-25 00:00:00",3.19
"2013-05-26 00:00:00",3.12
"2013-05-27 00:00:00",3.23
"2013-05-28 00:00:00",3.1
"2013-05-29 00:00:00",3.09
"2013-05-30 00:00:00",3.08
"2013-05-31 00:00:00",2.97
"2013-06-01 00:00:00",2.94
"2013-06-02 00:00:00",2.83
"2013-06-03 00:00:00",2.73
"2013-06-04 00:00:00",2.7
"2013-06-05 00:00:00",2.87
"2013-06-06 00:00:00",2.88
"2013-06-07 00:00:00",2.78
"2013-06-08 00:00:00",2.6
"2013-06-09 00:00:00",2.55
"2013-06-10 00:00:00",2.38
"2013-06-11 00:00:00",2.49
"2013-06-12 00:00:00",2.41
"2013-06-13 00:00:00",2.4
"2013-06-14 00:00:00",2.27
"2013-06-15 00:00:00",2.14
"2013-06-16 00:00:00",2.09
"2013-06-17 00:00:00",2.14
"2013-06-18 00:00:00",2.28
"2013-06-19 00:00:00",2.3
"2013-06-20 00:00:00",2.3
"2013-06-21 00:00:00",2.33
"2013-06-22 00:00:00",2.86
"2013-06-23 00:00:00",2.9
"2013-06-24 00:00:00",3.13
"2013-06-25 00:00:00",2.85
"2013-06-26 00:00:00",2.81
"2013-06-27 00:00:00",2.88
"2013-06-28 00:00:00",3.04
"2013-06-29 00:00:00",2.76
"2013-06-30 00:00:00",2.79
"2013-07-01 00:00:00",3.01
"2013-07-02 00:00:00",2.95
"2013-07-03 00:00:00",2.85
"2013-07-04 00:00:00",2.68
"2013-07-05 00:00:00",2.71
"2013-07-06 00:00:00",2.42
"2013-07-07 00:00:00",2.46
"2013-07-08 00:00:00",2.71
"2013-07-09 00:00:00",2.58
"2013-07-10 00:00:00",2.61
"2013-07-11 00:00:00",2.84
"2013-07-12 00:00:00",2.72
"2013-07-13 00:00:00",2.81
"2013-07-14 00:00:00",2.93
"2013-07-15 00:00:00",2.87
"2013-07-16 00:00:00",3
"2013-07-17 00:00:00",3.08
"2013-07-18 00:00:00",3.15
"2013-07-19 00:00:00",2.88
"2013-07-20 00:00:00",2.96
"2013-07-21 00:00:00",2.87
"2013-07-22 00:00:00",2.95
"2013-07-23 00:00:00",2.89
"2013-07-24 00:00:00",2.99
"2013-07-25 00:00:00",2.95
"2013-07-26 00:00:00",2.98
"2013-07-27 00:00:00",2.9
"2013-07-28 00:00:00",2.88
"2013-07-29 00:00:00",2.94
"2013-07-30 00:00:00",2.97
"2013-07-31 00:00:00",3
"2013-08-01 00:00:00",2.87
"2013-08-02 00:00:00",2.94
"2013-08-03 00:00:00",2.84
"2013-08-04 00:00:00",3.01
"2013-08-05 00:00:00",3
"2013-08-06 00:00:00",2.84
"2013-08-07 00:00:00",2.82
"2013-08-08 00:00:00",2.75
"2013-08-09 00:00:00",2.71
"2013-08-10 00:00:00",2.69
"2013-08-11 00:00:00",2.55
"2013-08-12 00:00:00",2.69
"2013-08-13 00:00:00",2.66
"2013-08-14 00:00:00",2.76
"2013-08-15 00:00:00",2.74
"2013-08-16 00:00:00",2.76
"2013-08-17 00:00:00",2.72
"2013-08-18 00:00:00",2.8
"2013-08-19 00:00:00",2.8
"2013-08-20 00:00:00",2.82
"2013-08-21 00:00:00",2.77
"2013-08-22 00:00:00",2.69
"2013-08-23 00:00:00",2.78
"2013-08-24 00:00:00",2.74
"2013-08-25 00:00:00",2.68
"2013-08-26 00:00:00",2.58
"2013-08-27 00:00:00",2.57
"2013-08-28 00:00:00",2.58
"2013-08-29 00:00:00",2.54
"2013-08-30 00:00:00",2.54
"2013-08-31 00:00:00",2.66
"2013-09-01 00:00:00",2.59
"2013-09-02 00:00:00",2.57
"2013-09-03 00:00:00",2.55
"2013-09-04 00:00:00",2.6
"2013-09-05 00:00:00",2.82
"2013-09-06 00:00:00",2.78
"2013-09-07 00:00:00",2.68
"2013-09-08 00:00:00",2.7
"2013-09-09 00:00:00",2.73
"2013-09-10 00:00:00",2.73
"2013-09-11 00:00:00",2.64
"2013-09-12 00:00:00",2.75
"2013-09-13 00:00:00",2.69
"2013-09-14 00:00:00",2.66
"2013-09-15 00:00:00",2.59
"2013-09-16 00:00:00",2.65
"2013-09-17 00:00:00",2.63
"2013-09-18 00:00:00",2.6
"2013-09-19 00:00:00",2.55
"2013-09-20 00:00:00",2.61
"2013-09-21 00:00:00",2.48
"2013-09-22 00:00:00",2.53
"2013-09-23 00:00:00",2.53
"2013-09-24 00:00:00",2.47
"2013-09-25 00:00:00",2.47
"2013-09-26 00:00:00",2.37
"2013-09-27 00:00:00",2.4
"2013-09-28 00:00:00",2.39
"2013-09-29 00:00:00",2.27
"2013-09-30 00:00:00",2.3
"2013-10-01 00:00:00",2.34
"2013-10-02 00:00:00",2.42
"2013-10-03 00:00:00",1.98
"2013-10-04 00:00:00",2.18
"2013-10-05 00:00:00",2.19
"2013-10-06 00:00:00",2.13
"2013-10-07 00:00:00",2.17
"2013-10-08 00:00:00",2.1
"2013-10-09 00:00:00",1.98
"2013-10-10 00:00:00",1.93
"2013-10-11 00:00:00",2.03
"2013-10-12 00:00:00",2.07
"2013-10-13 00:00:00",2.12
"2013-10-14 00:00:00",2.15
"2013-10-15 00:00:00",2.06
"2013-10-16 00:00:00",1.97
"2013-10-17 00:00:00",1.92
"2013-10-18 00:00:00",1.92
"2013-10-19 00:00:00",1.91
"2013-10-20 00:00:00",1.87
"2013-10-21 00:00:00",1.93
"2013-10-22 00:00:00",1.82
"2013-10-23 00:00:00",1.7
"2013-10-24 00:00:00",2.06
"2013-10-25 00:00:00",2.29
"2013-10-26 00:00:00",2.16
"2013-10-27 00:00:00",2.2
"2013-10-28 00:00:00",2.13
"2013-10-29 00:00:00",2.17
"2013-10-30 00:00:00",2.13
"2013-10-31 00:00:00",2.28
"2013-11-01 00:00:00",2.34
"2013-11-02 00:00:00",2.46
"2013-11-03 00:00:00",2.72
"2013-11-04 00:00:00",2.9
"2013-11-05 00:00:00",3.08
"2013-11-06 00:00:00",3.04
"2013-11-07 00:00:00",3.36
"2013-11-08 00:00:00",4.38
"2013-11-09 00:00:00",4.61
"2013-11-10 00:00:00",4.34
"2013-11-11 00:00:00",3.91
"2013-11-12 00:00:00",4.01
"2013-11-13 00:00:00",4.02
"2013-11-14 00:00:00",4.11
"2013-11-15 00:00:00",4.27
"2013-11-16 00:00:00",4.19
"2013-11-17 00:00:00",4.33
"2013-11-18 00:00:00",4.13
"2013-11-19 00:00:00",9.42
"2013-11-20 00:00:00",7.96
"2013-11-21 00:00:00",8.01
"2013-11-22 00:00:00",9.36
"2013-11-23 00:00:00",10.12
"2013-11-24 00:00:00",10.59
"2013-11-25 00:00:00",10.32
"2013-11-26 00:00:00",12.38
"2013-11-27 00:00:00",19.91
"2013-11-28 00:00:00",38.99
"2013-11-29 00:00:00",44.37
"2013-11-30 00:00:00",36.94
"2013-12-01 00:00:00",40.57
"2013-12-02 00:00:00",34.47
"2013-12-03 00:00:00",33.35
"2013-12-04 00:00:00",39.32
"2013-12-05 00:00:00",44.53
"2013-12-06 00:00:00",37.46
"2013-12-07 00:00:00",29.74
"2013-12-08 00:00:00",23.18
"2013-12-09 00:00:00",27.21
"2013-12-10 00:00:00",31.5
"2013-12-11 00:00:00",36.29
"2013-12-12 00:00:00",31.23
"2013-12-13 00:00:00",31.65
"2013-12-14 00:00:00",31.45
"2013-12-15 00:00:00",30.46
"2013-12-16 00:00:00",31.39
"2013-12-17 00:00:00",24.43
"2013-12-18 00:00:00",21.85
"2013-12-19 00:00:00",13.43
"2013-12-20 00:00:00",19.85
"2013-12-21 00:00:00",17.31
"2013-12-22 00:00:00",16.6
"2013-12-23 00:00:00",16.74
"2013-12-24 00:00:00",17.81
"2013-12-25 00:00:00",17.65
"2013-12-26 00:00:00",21.65
"2013-12-27 00:00:00",24.81
"2013-12-28 00:00:00",23.19
"2013-12-29 00:00:00",22.56
"2013-12-30 00:00:00",23.89
"2013-12-31 00:00:00",24.51
"2014-01-01 00:00:00",24.35
"2014-01-02 00:00:00",24.7
"2014-01-03 00:00:00",25.67
"2014-01-04 00:00:00",24.81
"2014-01-05 00:00:00",25.04
"2014-01-06 00:00:00",26.91
"2014-01-07 00:00:00",29.24
"2014-01-08 00:00:00",22.84
"2014-01-09 00:00:00",24.49
"2014-01-10 00:00:00",24.45
"2014-01-11 00:00:00",24.99
"2014-01-12 00:00:00",27.05
"2014-01-13 00:00:00",25.13
"2014-01-14 00:00:00",24.28
"2014-01-15 00:00:00",24.1
"2014-01-16 00:00:00",25.27
"2014-01-17 00:00:00",24.4
"2014-01-18 00:00:00",23.81
"2014-01-19 00:00:00",24.56
"2014-01-20 00:00:00",25.43
