title,date,year
Bitcoin Price is in the Green but EOS is Today’s Real Winner ,10-Apr,2019
Chinese Investors Jump on Bitcoin’s Bull Trend but at a Higher Price ,9-Apr,2019
PayPal Makes Blockchain Investment in Cambridge Blockchain ,2-Apr,2019
Square is Hiring: You Can Be Paid in Bitcoin if You Want ,21-Mar,2019
Apple’s Steve Wozniak Says Bitcoin has “Massive Value Creation” ,27-Feb,2019
JPMorgan Claims Bitcoin Isn’t Worth Mining Anymore ,25-Jan,2019
"Bitcoin Price Shows Resilience Above $3,500, Despite ETF Rejection ",24-Jan,2019
Russia to Avoid US Sanctions with $10 Billion Bitcoin Investment ,14-Jan,2019
Bitwise Files Bitcoin ETF With SEC: Another ETF Hopeful ,10-Jan,2019
Litecoin’s Charlie Lee Sparks Twitter Battle Over “Bitcoin Extremists” ,7-Jan,2019
"Coinbase President: Despite Bitcoin Price Crashes, 2018 was an Innovative Year ",21-Dec,2018
Bitcoin Gains 18%: Quinone CEO Says 2019 Will Bring New All-Time Highs ,19-Dec,2018
"Spencer Bogart: Bitcoin Price Can Go Lower or Higher, Either Way It’s a Good Asset ",18-Dec,2018
Bitcoin Price Approached $20K in Dec. 2017 and Now It’s At $3K ,17-Dec,2018
Bitcoin Price Tumbles Further: New Low for the Coin ,14-Dec,2018
You Can Earn Bitcoin (BTC) While Shopping with the Lolli App ,14-Dec,2018
NASDAQ Officially Confirms Launch of Bitcoin Futures in Early 2019 ,4-Dec,2018
"Bitcoin (BTC) up Nearly 20% in 48 Hours, How High will It Go? ",29-Nov,2018
Bitcoin Rally: Cryptocurrency Makes a Comeback After Major Slump ,28-Nov,2018
NASDAQ to launch Bitcoin Futures in 2019 ,27-Nov,2018
Bitcoin (BTC) Crash Causes Crypto Mining Closures and Bankruptcy ,23-Nov,2018
Bitcoin’s Fall from Grace: Warren Buffett Said It All Along ,23-Nov,2018
"Tom Lee Sticks by His $15,000 Bitcoin (BTC) Price Prediction Despite Falling Market ",21-Nov,2018
Bitcoin Hits Lowest Level Again—This Time Last Year Things were Very Different! ,19-Nov,2018
Bitcoin Hits the Lowest Level of the Year Thus Far—Entire Market Down ,14-Nov,2018
"Square’s Bitcoin (BTC) Profits Jump $500,000 in Q3 ",8-Nov,2018
CBOE Bitcoin (BTC) Futures Reach Record-Low Volatility ,6-Nov,2018
Morgan Stanley Classes Bitcoin as an Asset ,1-Nov,2018
"Jamie Dimon Knocks Down Bitcoin (BTC), Again ",1-Nov,2018
Bitcoin Turns 10! We’ve Had 10 Years of the Digital Currency ,31-Oct,2018
California Man Faces Up to Five Years for “Unlicensed” Bitcoin (BTC) Sales ,30-Oct,2018
"Bitcoin Drop: Bitcoin Loses $200 in 24-hours, Crypto Market Follows ",29-Oct,2018
Elon Musk Tweets About Bitcoin and People are Losing It ,23-Oct,2018
Small Bitcoin Fee: Only 10 Cents for $194 Million on the Bitcoin Network ,17-Oct,2018
Bitcoin Price: BTC Skyrockets Nearly 10% and Pulls Rest of the Crypto Market Back into the Green ,15-Oct,2018
Cryptocurrency Sell-Off: Bitcoin (BTC) Plummets and Market Follows Suit ,11-Oct,2018
Bitcoin (BTC) Interest and Trading Rising in Venezuela ,1-Oct,2018
Morgan Stanley Bitcoin Derivatives are Ready to Go ,13-Sep,2018
Crypto Canada: First Block Capital Launches Canadian Bitcoin (BTC) Mutual Fund ,11-Sep,2018
Goldman Sachs CFO States Company ISN’T Ditching Bitcoin Trading Desk ,7-Sep,2018
Abra CEO Claims SEC Will Approve Bitcoin (BTC) ETF Within the Year ,4-Sep,2018
SEC Rejects Nine Bitcoin (BTC) ETF Proposals ,23-Aug,2018
BTC Price Indicating a Bullish Trend Reversal? Jim Cramer May Disagree ,16-Aug,2018
Square Cash App Expands to All 50 US States and Allows All Members to Buy Bitcoin (BTC) ,14-Aug,2018
Is it Game-Over for Bitcoin? This Wall Street Analyst Says Yes ,10-Aug,2018
"Bitcoin (BTC) Falls Close to $6,500 After SEC ETF Delay ",8-Aug,2018
Is Bitcoin Broken? Tom Lee Says Bitcoin Misery Index Indicates No ,7-Aug,2018
Will Starbucks Make Buying Coffee with Bitcoin (BTC) Easier? ,3-Aug,2018
"Bitcoin has Dropped by 45% this Year, and Goldman Sachs Expects More ",3-Aug,2018
Bitcoin is Getting Bakkt! NYSE Owner to Offer Federally Regulated Market for Bitcoin ,3-Aug,2018
Online Bank Swissquote Shows Surge in Profits Because of the “Crypto Boom” ,31-Jul,2018
Kim Kardashian West Promotes Bitcoin (BTC) at Charity Event ,30-Jul,2018
"Four Catalysts Driving Bitcoin Higher, According to Spencer Bogart ",27-Jul,2018
"Bitcoin (BTC) Breaks $8,100—Up, Up, Up It Goes! ",24-Jul,2018
Marc Lasry: “Bitcoin Investors Will Make 5 to 10 times their Money in 3 to 5 Years” ,18-Jul,2018
"Bitcoin Price: Bitcoin (BTC) Nears $7,500 ",18-Jul,2018
BlackRock News Gives Bitcoin (BTC) and Cryptocurrency Market a Boost ,16-Jul,2018
TenX’s Julian Hosp is Bullish About BTC Predicting a $60K Height in 2018 ,12-Jul,2018
Bitcoin “Exists Because of the Abuses” — Nobel-Winning Economist Joseph Stiglitz Speaks Out ,9-Jul,2018
Tom Lee Bitcoin Price Target: From $25K to $20K ,5-Jul,2018
"Fundstrat’s Robert Slyumer: Bitcoin Must Rally Through $6,300 ",28-Jun,2018
Bitcoin Airdrop and Azul App to Send Millions in Bitcoin to Venezuela ,28-Jun,2018
Bitcoin (BTC) Not Among China’s Top Ten Blockchains ,25-Jun,2018
Jack Ma: Bitcoin Bubble is Real and Blockchain is the Future ,25-Jun,2018
County in Montana Delays Decision to Suspend Bitcoin Mining Operations ,15-Jun,2018
Did Tether (USDT) Really Manipulate the All-Time Price Highs of Bitcoin (BTC)? ,13-Jun,2018
Are Day Traders Ruining Bitcoin (BTC)? Short-Term Speculators on the Rise ,8-Jun,2018
The Potential Launch of Bitcoin ETF’s Could Push the Coin Price higher ,7-Jun,2018
Bitcoin’s Energy Footprint Has Doubled – And it Might Not Stop ,6-Jun,2018
"Bitcoin isn’t a Panacea, XRP is Better than BTC – Brad Garlinghouse says ",6-Jun,2018
"Bitcoin Needs a New Narrative to Restore Confidence, Analysts Say ",5-Jun,2018
Tom Lee Says Bitcoin Bears are Wrong About Three Things ,5-Jun,2018
Bitcoin [BTC] Google Searches Down 75% in Six Months ,5-Jun,2018
"Bitcoin Bubble is One Stage Away From Bursting, Federal Reserve Advisor Says ",4-Jun,2018
"Bitcoin Price Offers a Buying Opportunity, Analysts Say ",1-Jun,2018
Yale’s Robert Shiller Is Pessimistic About Bitcoin Price ,31-May,2018
Mr. Greenspan – Bitcoin Price Will Take Years To Stabilize ,30-May,2018
"Bitcoin is Not a Reliable Saving Instrument, Study Shows ",29-May,2018
Bitcoin News: Spencer Bogart Thinks it’s a Time to Buy ,28-May,2018
"Hacker Who Sold User-data for $2.6M in Bitcoin, Receives 10-Year Sentence ",28-May,2018
"John McAfee Bitcoin Price Prediction is Baseless, Bears Say ",25-May,2018
Bitcoin News: Tom Lee Stands By His Predictions ,24-May,2018
Possible Bitcoin Price Manipulation? U.S. Launched Criminal Probe to Investigate ,24-May,2018
Bitcoin Price Selloff; Trend Makers Bashing Continues ,23-May,2018
"Joe Davis; Vanguard Economist, Predicts Bitcoin Price Will Crash to Zero ",22-May,2018
"Bitcoin Pizza Day: What You Can Buy Now for 10,000 Bitcoin (BTC) ",22-May,2018
PayPal CFO John Rainey Rejects Bitcoin as a Reliable Currency ,18-May,2018
"Alibaba Founder, Jack Ma, Calls Bitcoin (BTC) a Bubble ",18-May,2018
Tom Lee Bitcoin Price Prediction Fail – Bitcoin Is Not Rallying As Expected ,17-May,2018
"Bitcoin News: Price Below $8,500; Jack Dorsey Talks BTC at Consensus 2018 ",16-May,2018
LedgerX Launches Bitcoin Savings Account: HODLers Unite ,15-May,2018
Is Bitcoin Safe? Renowned Investor Tim Draper Believes So ,14-May,2018
Roger Ver Predicts Ethereum and Bitcoin Cash Will Outrun Bitcoin Soon ,11-May,2018
Tom Lee’s 70% BTC Upside Prediction; Is it a Fairy Tale? ,9-May,2018
Coinmarketcap Eliminates Bitcoin.com From Its Bitcoin Page ,8-May,2018
The New York Stock Exchange Has its Eyes on Trading Bitcoin (BTC) ,8-May,2018
"Bitcoin Expert Says: 2018 Drop Was ‘Normal,’ – New Highs Will Follow ",7-May,2018
Bitcoin Payments Returning to Reddit ,3-May,2018
Goldman Sachs Launching Bitcoin Futures Contracts Soon ,3-May,2018
