title,date,author,number_of_views
A Potential Reason Behind Bitcoin's Surge,"Jun 6, 2017",Josh Li,6502
Bitcoin Just A Bubble? Credit Suisse CEO's Prediction,"Nov 2, 2017",Chelsea Roh,3396
"BREAKING: Bitcoin Soars 6% to $7,400 in just 24 hours","Nov 3, 2017",Chelsea Roh,762
Can You Make a Fortune out of Bitcoin? Richard Branson and Bill Gates Seem to Think So,"Nov 6, 2017",Caroline Harris,3683
"Hard Fork News: Bitcoin SegWit2x Suspended, Price Jumps","Nov 8, 2017",Chelsea Roh,3188
Study Finds: One-In-Four Millennials Ditching Stocks For Bitcoin,"Nov 9, 2017",Chelsea Roh,523
"Bitcoin Is Not A Bubble, Here's Why","Nov 10, 2017",Chelsea Roh,859
"BREAKING: Bitcoin falls below $7,000!","Nov 10, 2017",Chelsea Roh,872
"Bitcoin Cash: Up 49%, could it be the new Bitcoin by mid 2018?","Nov 10, 2017",Chelsea Roh,906
Bitcoin Death Spiral?,"Nov 14, 2017",Chelsea Roh,1048
"Bitcoin Cash Upgrade Complete, Bitcoin In Trouble?","Nov 14, 2017",Chelsea Roh,1007
"Chinese Ban on Bitcoin Mining Rumors Circulate, Amidst Official Document Releases","Nov 14, 2017",Jen Jiang,633
Wall Street Ready For Bitcoin Futures Introduction,"Nov 14, 2017",Chelsea Roh,725
Bitcoin: Zimbabwe's Only Hope?,"Nov 14, 2017",Chelsea Roh,725
"Bitcoin Is On The Rise, Back Above $7000","Nov 15, 2017",Chelsea Roh,677
Canada: 2018 Blockchain Digital Identification,"Nov 15, 2017",Chelsea Roh,521
$100 Billion UK Hedgefund Exploring Bitcoin,"Nov 15, 2017",Chelsea Roh,745
Breaking: Square Inc Making BIG Moves With Bitcoin,"Nov 15, 2017",Chelsea Roh,778
Extradition Bitcoin Laundering Hearing Causing Rift Between US And Russia Courts,"Nov 15, 2017",Chelsea Roh,766
Morgan Stanley CEO Rips Bitcoin,"Nov 16, 2017",Chelsea Roh,1090
Bitcoin Cash Crumble?,"Nov 16, 2017",Chelsea Roh,771
How high does Bitcoin's prices have to reach before the typical Bitcoin investor sells it?,"Nov 16, 2017",Chelsea Roh,472
Switzerland: Two New Bitcoin Futures Projects Emerge,"Nov 17, 2017",Chelsea Roh,3247
"BREAKING: Bitcoin Reaches $8,000","Nov 17, 2017",Chelsea Roh,535
First Bitcoin Litecoin Network Swap Success,"Nov 17, 2017",Chelsea Roh,1134
"All-Time High: Bitcoin Breaks Over $8,200","Nov 20, 2017",Chelsea Roh,521
Square: Credit Suisse Analyst Says Company Will Make $30 Million From Bitcoin,"Nov 20, 2017",Chelsea Roh,552
CME Bitcoin Trades Set For December 11th,"Nov 20, 2017",Chelsea Roh,609
"Russia: Bitcoin Will ""Never"" Be Legal","Nov 20, 2017",Chelsea Roh,767
"Capital Management Founder Projects Bitcoin To Reach $400,000","Nov 20, 2017",Chelsea Roh,557
